University Name,State,Country,Course Name,Average Fees (Per Year),Currency
Oklahoma State University - Stillwater,Oklahoma,United States,MPH in Public Health,18459.0,USD
McMaster University,Hamilton,Canada,MPH in Public Health,50119.0,CAD
McMaster University,Hamilton,Canada,M.Sc in Health Research Methodology,15468.0,CAD
The George Washington University,District of Columbia,United States,MPH in Public Health - Epidemiology,41288.0,USD
The George Washington University,District of Columbia,United States,Masters in Public Health - Global Health Epidemiology and Disease Control,41288.0,USD
The George Washington University,District of Columbia,United States,Masters in Public Health Communication and Marketing,,USD
Oregon State University,Oregon,United States,MPH in Public Health,31523.0,USD
Oregon State University,Oregon,United States,Masters in Public Health,36026.0,USD
Indiana University - Purdue University Indianapolis,Indiana,United States,MPH in Public Health,24368.0,USD
University of Virginia,Virginia,United States,Masters in Public Health,33246.0,USD
Yale University,Connecticut,United States,MPH in Public Health,51895.0,USD
Northern Illinois University,Illinois,United States,MPH in Public Health,18791.0,USD
"California State University, Northridge",California,United States,MPH in Public Health,16884.0,USD
University of Colorado at Denver,Colorado,United States,MPH in Public Health,29820.0,USD
Florida State University,Florida,United States,Masters in Public Health,23865.0,USD
University of New Haven,Connecticut,United States,Masters in Public Health,22155.0,USD
University of Connecticut,Connecticut,United States,Masters in Public Health,55296.0,USD
"California State University, Fresno",California,United States,Masters in Public Health,20223.0,USD
State University of New York (Albany),New York,United States,MPH in Public Health,22095.0,USD
University of Victoria,British Columbia,Canada,Masters in Public Health,7917.0,CAD
Drexel University,Pennsylvania,United States,Masters in Public Health,80100.0,USD
The University of Melbourne,Victoria,Australia,MPH in Public Health,56941.0,AUD
The University of Chicago,Illinois,United States,MS in Precision Health,64720.0,USD
Kansas State University,Kansas,United States,Masters in Public Health,,USD
San Francisco State University,California,United States,MPH in Community Health Education,24413.0,USD
Lakehead University,Thunder Bay,Canada,Masters in Public Health,23001.0,CAD
Wright State University,Ohio,United States,Masters in Public Health,23625.0,USD
Brown University,Rhode Island,United States,Masters in Public Health,45594.0,USD
University of Massachusetts Lowell,Massachusetts,United States,MPH in Public Health,32319.0,USD
West Virginia University,West Virginia,United States,MPH in Public Health,37186.0,USD
Wayne State University,Michigan,United States,Masters in Public Health,,USD
University of Illinois at Springfield,Illinois,United States,Masters in Public Health - Environmental Health,46107.0,USD
University of Illinois at Springfield,Illinois,United States,Masters in Public Health - General,16344.0,USD
Kent State University,Ohio,United States,Masters in Public Health,24495.0,USD
Case Western Reserve University,Ohio,United States,MS in Public Health Nutrition,33821.0,USD
Florida International University,Florida,United States,Masters in Public Health,22545.0,USD
University of Alabama at Birmingham,Alabama,United States,MS in Public Health-Applied Epidemiology,37137.0,USD
University of Alabama at Birmingham,Alabama,United States,MPH in Public Health: Environmental Health,27654.0,USD
University of Iowa,Iowa,United States,MPH in Community and Behavioral Health,32158.0,USD
Texas A&M University - Corpus Christi,Texas,United States,Masters in Public Health,15276.0,USD
Western University,Ontario,Canada,Masters in Public Health,59700.0,CAD
Western University,Ontario,Canada,MPH in Public Health,59510.0,CAD
University of Saskatchewan,Saskatchewan,Canada,Masters in Public Health,17584.0,CAD
Washington University in St. Louis,Missouri,United States,Masters in Public Health,42640.0,USD
DePaul University,Illinois,United States,MS in Public Health,21982.0,USD
"University of Missouri, Columbia",Missouri,United States,Masters in Public Health,,USD
The University of New South Wales,New South Wales,Australia,MPH in Public Health,47455.0,AUD
The University of New South Wales,New South Wales,Australia,Masters in International Public Health,48280.0,AUD
Imperial College London,London,United Kingdom,Masters in Public Health,43250.0,GBP
University of Montreal,Montreal,Canada,MSc in Public Health,33939.0,CAD
Monash University,Victoria,Australia,Masters in Public Health,49900.0,AUD
University of Wisconsin-Milwaukee,Wisconsin,United States,MPH in Biostatistics,30820.0,USD
Western Michigan University,Michigan,United States,Masters in Public Health,,USD
The University of Kansas,Kansas,United States,MPH in Public Health,20782.0,USD
University of Texas at San Antonio,Texas,United States,Masters in Public Health,,USD
University of Manitoba,Manitoba,Canada,MPH in Public Health,38982.0,CAD
Lamar University,Texas,United States,Masters in Public Health,,USD
University of Georgia,Georgia,United States,MPH in Public Health,23672.0,USD
University of Georgia,Georgia,United States,Masters in Public Health Policy and Management,,USD
Memorial University of Newfoundland,Newfoundland & Labrador,Canada,MPH in Public Health,9666.0,CAD
Memorial University of Newfoundland,Newfoundland & Labrador,Canada,MPH in Public Health - Population/Public Health Stream,6654.0,CAD
University of Tennessee at Knoxville,Tennessee,United States,MPH in Public Health,21231.0,USD
Tufts University,Massachusetts,United States,MPH in Public Health,42630.0,USD
Deakin University,Victoria,Australia,Masters in Public Health,39800.0,AUD
"Deakin University, Melbourne",Victoria,Australia,Masters in Applied Science,40800.0,AUD
Northern Arizona University,Arizona,United States,MPH in Public Health - Health Promotion,30338.0,USD
Northern Arizona University,Arizona,United States,MPH in Nutrition,27940.0,USD
Temple University,Pennsylvania,United States,Masters in Public Health in Epidemiology,31941.0,USD
"Southern Illinois University, Carbondale",Illinois,United States,Masters in Public Health,,USD
Central Michigan University,Michigan,United States,MPH in Public Health,22968.0,USD
Ludwig Maximilian University of Munich,Bavaria,Germany,Masters in Public Health,,EUR
The University of Sydney,New South Wales,Australia,MPH in Public Health,54000.0,AUD
Louisiana State University,Louisiana,United States,Masters in Public Health,,USD
University of New Hampshire,New Hampshire,United States,Masters in Public Health,12110.0,USD
Dresden University of Technology,Sohag,Germany,Masters in Public Health,,EUR
The University of Edinburgh,Edinburgh,United Kingdom,Masters in Public Health,28800.0,GBP
University of Glasgow,Glasgow City,United Kingdom,Masters in Public Health,27930.0,GBP
University College London,London,United Kingdom,MSc in Dental Public Health,32100.0,GBP
University of Guelph,Ontario,Canada,MPH in Public Health,29947.0,CAD
Ohio University,Ohio,United States,Masters in Public Health,41743.0,USD
Ohio University,Ohio,United States,Masters in Public Health,,USD
Laval University,Quebec,Canada,M. Sc in Public Health Environmental Health,15224.0,CAD
Laval University,Quebec,Canada,M. Sc in Public Health Global Health,15224.0,CAD
Laval University,Quebec,Canada,M.Sc in Public Health,15224.0,CAD
Laval University,Quebec,Canada,M. Sc. in Public Health Health Promotion,15224.0,CAD
Vanderbilt University,Tennessee,United States,Masters in Public Health-Epidemiology,33074.0,USD
The University of Queensland,Queensland,Australia,Masters in Public Health,44960.0,AUD
"California State University, San Bernardino",California,United States,MPH in Public Health,20664.0,USD
North Dakota State University,North Dakota,United States,Masters in Public Health,,USD
California Polytechnic State University,California,United States,Masters in Public Health,,USD
Australian National University,Australian Capital Territory,Australia,Masters in Public Health,49330.0,AUD
Australian National University,Australian Capital Territory,Australia,Masters in Culture Health and Medicine,48005.0,AUD
"California State Polytechnic University, Pomona",California,United States,Masters in Public Health,,USD
Brock University,Ontario,Canada,Masters in Public Health,7834.0,CAD
University of Memphis,Tennessee,United States,MPH in Public Health,20538.0,USD
Bowling Green State University,Ohio,United States,Masters in Public Health,,USD
The University of Adelaide,South Australia,Australia,Masters in Public Health,44500.0,AUD
The University of Alabama,Alabama,United States,Masters in Public Health,,USD
